,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
4396,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,80.0,region 50.0-100.0
343,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,89.0,region 0.0-50.0
5186,1,moderate,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
1704,0,flexible,0,House,Private room,1.0,1.0,1.0,1.0,60.0,region 200.0-250.0
3738,1,strict_14_with_grace_period,1,Apartment,Entire home/apt,6.0,1.0,3.0,4.0,99.0,Others
6756,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 350.0-400.0
2455,0,strict_14_with_grace_period,0,Others,Shared room,8.0,2.0,1.0,8.0,88.0,region 50.0-100.0
3379,1,moderate,0,House,Entire home/apt,4.0,1.0,2.0,2.0,93.0,region 150.0-200.0
4018,1,moderate,0,Guest suite,Private room,4.0,1.0,1.0,2.0,97.0,region 50.0-100.0
4760,0,flexible,1,Boutique hotel,Private room,2.0,1.0,0.0,1.0,80.0,region 50.0-100.0
2525,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,2.0,98.0,region 100.0-150.0
1284,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,97.0,region 200.0-250.0
1048,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,5.0,2.0,3.0,3.0,93.0,region 150.0-200.0
2702,0,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,99.0,region 50.0-100.0
1072,1,flexible,0,House,Entire home/apt,3.0,1.0,1.0,2.0,96.0,region 150.0-200.0
960,0,flexible,0,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,88.0,region 100.0-150.0
2767,0,strict_14_with_grace_period,1,Apartment,Private room,2.0,1.0,1.0,1.0,99.0,region 50.0-100.0
