,price
6056,42.0
1157,125.0
2128,110.0
7086,88.0
6479,355.0
6884,475.0
5405,110.0
2155,124.0
6115,250.0
5823,75.0
7104,150.0
6017,150.0
2410,90.0
2239,105.0
5668,142.0
2817,155.0
564,49.0
590,595.0
48,170.0
5237,78.0
3561,375.0
4571,233.0
2869,80.0
4456,167.0
5090,210.0
6400,140.0
3963,99.0
5272,74.0
2097,110.0
1338,220.0
3058,110.0
2267,139.0
5709,365.0
7107,350.0
533,130.0
3715,73.0
4046,99.0
4157,48.0
1165,1500.0
6892,35.0
4597,180.0
517,545.0
2319,215.0
3140,450.0
6130,36.0
5283,349.0
4464,229.0
5445,135.0
4060,400.0
2818,118.0
5757,89.0
3603,65.0
4546,500.0
3531,100.0
6441,196.0
647,89.0
340,125.0
2581,131.0
845,390.0
3183,249.0
5894,180.0
2880,140.0
5163,129.0
4692,135.0
5098,200.0
7090,1599.0
3270,295.0
3853,40.0
1975,100.0
3436,100.0
5753,130.0
3501,76.0
38,155.0
3940,120.0
3924,188.0
1530,50.0
7103,50.0
3496,100.0
2683,399.0
734,167.0
4753,120.0
997,125.0
5146,190.0
1728,84.0
5843,218.0
150,75.0
4765,79.0
4292,100.0
908,160.0
6520,64.0
4972,177.0
1965,390.0
2103,246.0
6873,139.0
4145,125.0
6899,55.0
1207,79.0
5292,300.0
23,100.0
1875,280.0
5029,80.0
1675,699.0
5007,70.0
4947,59.0
2672,345.0
1641,1300.0
2438,1099.0
1622,89.0
871,150.0
5646,150.0
4312,390.0
6693,81.0
3898,140.0
321,120.0
1771,350.0
624,99.0
5536,89.0
4376,75.0
6146,675.0
6066,90.0
4465,300.0
3647,350.0
5008,150.0
5302,140.0
4217,77.0
3445,250.0
3376,90.0
4938,65.0
214,133.0
6826,131.0
996,169.0
7024,265.0
4919,140.0
2775,90.0
6278,164.0
6453,202.0
4107,150.0
287,30.0
7059,82.0
3278,150.0
3632,850.0
3811,85.0
4004,70.0
3900,90.0
1991,220.0
4081,320.0
3736,77.0
5973,100.0
267,200.0
553,135.0
2446,185.0
5740,85.0
5083,299.0
4675,333.0
2363,480.0
5066,130.0
3218,132.0
2117,169.0
